document;Haltung – menschlicher Bewerter
Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Zunächst: Lieber Volkmar Klein, wir werden dich nicht nur bei der IPU vermissen, sondern wir werden dich auch vermissen als einen Parlamentarier, der mit Herz, Verstand und Kompass mit uns hier lange gut und hervorragend zusammengearbeitet hat. Auf Wiedersehen hoffentlich hier im Hohen Hause! Wir beraten heute, liebe Kolleginnen und Kollegen, über vier Auslandseinsätze der Bundeswehr außerhalb des üblichen Zeitplans. Dass wir die Beratungen vorziehen, ist richtig und wichtig und der Situation angemessen. Aber dass die Parlamentarischen Geschäftsführer jeweils zwei Mandate in eine Debatte packen, halte ich für unangemessen. Damit haben wir zu wenig Zeit, um über viele wichtige Fragen zu sprechen. Ich würde mich sehr freuen, wenn wir die zweite Lesung der Mandate Ende Januar nicht zusammengefasst, sondern wieder in einem eigenen Tagesordnungspunkt pro Mandat halten würden. Jetzt befassen wir uns aber mit zwei Mandaten, und ich möchte mit Aspides im Roten Meer anfangen. Die Mission ist noch nicht mal ein Jahr alt, und deswegen liegt uns bis jetzt noch keine Evaluierung vor. Aber auch ohne Evaluierung kann ich Ihnen sagen, dass Anspruch und Wirklichkeit leider schon jetzt weit auseinanderklaffen. Ziel der Mission ist der Schutz der zivilen Handelsschiffe vor Angriffen durch die radikal-islamische Huthi-Miliz auf der Route durch das Rote Meer. Dafür muss die Gefahr durch diesen Proxy des Iran neutralisiert werden. Für dieses wichtige Ziel haben wir vor weniger als einem Jahr hier im Bundestag einen neuen Auslandseinsatz der Bundeswehr beschlossen, der aus dem Stand heraus der größte laufende Auslandseinsatz sein sollte. Mit einer Personalobergrenze von 700 Soldatinnen und Soldaten ist unser Aspides-Mandat solide vom Bundestag aufgesetzt worden. Tatsächlich haben wir derzeit nur 15 der 700 möglichen Soldatinnen und Soldaten in der Mission. Der Höchstwert seit Beginn der Mission lag bei 245 von 700 möglichen Soldatinnen und Soldaten. Das war im Zeitraum von Februar bis April 2024, als wir die Fregatte Hessen vor Ort hatten. Das war das einzige Schiff, mit dem wir uns an der Mission bisher beteiligt haben auch das anders als geplant. Eigentlich war die erneute Beteiligung der Fregatte Hamburg, Herr Bundesminister, vorgesehen, die dafür Anfang Juli ausgelaufen war. Wegen der Lageentwicklung im Nahen Osten wurde der Plan aber geändert, und die Hamburg verblieb im östlichen Mittelmeer. Auch die geplante Beteiligung der Fregatte Baden-Württemberg und des Einsatzgruppenversorgers Frankfurt am Main bei ihrer Durchfahrt durch das Einsatzgebiet im Rahmen des Indo-Pacific Deployment ist ausgeblieben. Wegen der Bedrohungslage wurde stattdessen die Route um das Kap der Guten Hoffnung gewählt. Wenn selbst zwei Marineschiffe das Rote Meer meiden, dann ist es nicht verwunderlich, dass die meisten zivilen Handelsschiffe es ebenso tun. Der Schiffsverkehr durch die Meerenge Bab Al-Mandab ist um 73 Prozent gesunken. Dadurch fehlen auch die Einnahmen für das wirtschaftlich bedrohte Ägypten durch den Suezkanal. Der Großteil der Reedereien nutzt mittlerweile die Ausweichroute um das Kap und nimmt damit rund 10 bis 14 Tage längere Fahrten in Kauf. Die erhöhten Frachtraten werden letztendlich an die Endverbraucher weitergegeben und müssen so von uns allen bezahlt werden. Das Ziel der Mission, der Schutz der zivilen Handelsschifffahrt, wurde also nicht erreicht. Deswegen müssen wir darüber diskutieren, wie wir Aspides erfolgreicher machen können;IRRELEVANT
. Die erhöhten Frachtraten werden letztendlich an die Endverbraucher weitergegeben und müssen so von uns allen bezahlt werden. Das Ziel der Mission, der Schutz der zivilen Handelsschifffahrt, wurde also nicht erreicht. Deswegen müssen wir darüber diskutieren, wie wir Aspides erfolgreicher machen können. Die Mandatsobergrenze soll ja weiter bei 700 Soldatinnen und Soldaten liegen. Die Frage bleibt, wie die Weltgemeinschaft der Huthis im Jemen Herr werden kann. Die deutsche Wirtschaft braucht auf jeden Fall sichere Seewege im Roten Meer, in der Taiwanstraße, schlicht und ergreifend einfach weltweit. Ähnlich gering ist unser Engagement auch bei der UN-Mission UNMISS im Südsudan. Mit derzeit 13 von geplant bis zu 50 Soldatinnen und Soldaten liegt das aber deutlich näher am Plan. Dank des Beitrags anderer UN-Staaten kommen wir hier insgesamt auf mehr als 13 000 Soldatinnen und Soldaten. Gemeinsam sind wir als Weltgemeinschaft stark. Und das ist auch dringend nötig denn die Bevölkerung im Südsudan braucht internationale Hilfe. Seit der Staatsgründung der Republik Südsudan im Jahr 2011 ist es ein sehr fragiler Staat. Das Wort Failed State macht immer wieder die Runde. Der Konflikt im Nachbarland Sudan und die Wirtschaftskrise haben die Lage zuletzt eher noch schwieriger gemacht. Die Bevölkerung leidet unter einer der drängendsten humanitären Krisen weltweit. Etwa drei Viertel der Bevölkerung sind auf humanitäre Hilfe angewiesen. UNMISS ist dabei von größter zentraler Bedeutung für die Schaffung und Erhaltung von Zugängen für humanitäre Hilfe. Die militärische Komponente der Mission leistet dafür tagtäglich Unterstützung. Meine Damen und Herren, lassen Sie uns abschließend unseren Soldatinnen und Soldaten dafür danken, dass sie gerade über Weihnachten fernab der Heimat sind, um Gutes in der Welt zu tun sei es zum Schutz der Bevölkerung im Südsudan oder zum Schutz der Seefahrerinnen und Seefahrer im Roten Meer. Vielen Dank dafür! Für uns alle Vielen Dank, Herr Kollege. Denn sinnloser Streit unter Demokraten fördert nur extremes Denken, und davon gibt es bereits zu viel in der Welt. Frohes Fest! Wenn Sie alle doch bitte die ganz besonders wichtigen Dinge vor dem Ende der Redezeit benennen würden! Alle guten Wünsche sind sehr schön. Ich habe aber sehr viel Stress bekommen von den Kollegen, die nach mir kommen. Also, ich kriege wirklich Ärger von den anderen Kollegen, wenn Sie die Redezeiten überschreiten. Das können Sie sich vielleicht vorstellen. Joachim Wundrak hat das Wort für die AfD-Fraktion.;IRRELEVANT
Sehr geehrte Frau Präsidentin! Sehr geehrte Damen und Herren! Heute legt die Bundesregierung dem Bundestag erneut zwei Anträge zu Bundeswehrmandaten vor: zur NATO-geführten Operation Sea Guardian und zur EU-geführten Operation EUNAVFOR MED Irini. Die globale Sicherheitslage hat sich bekanntlich deutlich verschlechtert. Die Rolle Deutschlands als verlässlicher Partner in der NATO und der EU ist der außenpolitische Anspruch beider Mandate. Beide Mandatsgebiete befinden sich im Mittelmeer, an der Südflanke der NATO. Zu Beginn das erlauben Sie mir kurz ist auch aus unserer Sicht noch einmal kritisch zu bemerken der Kollege Lechte erwähnte es vorhin in der Debatte zu den anderen Mandaten , dass hier zwei Mandate in einem Tagesordnungspunkt abgehandelt werden. Es ist vor allem eine Frage der Wertschätzung gegenüber denjenigen, die im Dienst dieser Mandate stehen, dass sich das Parlament im gebotenen Umfang einzeln mit diesen Mandaten befasst. Nun aber zu den Mandaten im Einzelnen. Die mandatierten Aufgaben der maritimen Sicherheitsoperation Sea Guardian sind primär die Lagebilderstellung und Aufklärung im Zusammenhang mit der Seeraumüberwachung. Ein weiterer, stabilisierender Auftrag ist es, der Verbreitung von Terrorismus und Waffenschmuggel im Mittelmeerraum entgegenzuwirken. Das dabei gewonnene Lagebild ist immer auch im nationalen Interesse Deutschlands denn sichere Handelsrouten dienen dem präventiven Schutz von Gütertransporten im Mittelmeer. Ein Drittel aller verschifften Güter, ein Viertel aller Öltransporte weltweit sind auf möglichst sicheres Durchfahren des Mittelmeers angewiesen. Die deutsche Beteiligung das ist eben auch erwähnt worden besteht hier aus Einheiten in Zweitfunktion. Es geht um den Associated Support, also um die flexible Zuweisung von deutschen Einheiten, die sich primär aus anderen Gründen im Mandatsgebiet aufhalten. Sea Guardian ist deshalb aus deutscher Sicht auch immer im Zusammenhang mit weiteren Verpflichtungen zu sehen. So ist beispielsweise das Wehrforschungsschiff Planet der Wehrtechnischen Dienststelle 71 am 1. Oktober 2024 als Führungsschiff zur NATO-Unterstützungsmission in die Ägäis ausgelaufen. Dies ist ein Beitrag zu einem multinationalen Flottenverband der NATO. Sicher werden die Frauen und Männer während des gesamten Einsatzes im Rahmen des Mandates einen hervorragenden Dienst verrichten. Dennoch zeigt dies, wie knapp derzeit die materielle Situation der deutschen Marine ist. Die Mandatsobergrenze bleibt mit 550 Soldatinnen und Soldaten unverändert. Für das zweite Mandat, EUNAVFOR MED Irini, ist festzuhalten, dass der Hauptauftrag die Umsetzung des Waffenembargos gegen Libyen und die Bekämpfung des illegalen Waffenhandels im Operationsgebiet ist. Darüber hinaus leistet die Operation jeweils als Nebenaufgabe einen Beitrag zur Verhinderung der illegalen Ausfuhr von Erdöl aus Libyen und zur Zerschlagung des Geschäftsmodells von Schleuserund Menschenhandel. Auch der Kapazitätsaufbau und die Schulung von libyschen Akteuren sind Teil der Operation. Beides wird aber derzeit nicht durchgeführt wir haben eben schon Ausführungen dazu gehört und ist auch nicht Teil des deutschen Mandates. Dies ist künftig zumindest noch einmal sachlich und kritisch zu überprüfen. Wie bei Sea Guardian ist die Lagebilderstellung eine weitere wesentliche Funktion von Irini. Im Vergleich zum erstgenannten Mandat werden bei Irini Luftfahrzeuge eingesetzt. Nachdem die P-3C Orion hierfür nicht mehr zur Verfügung steht, werden zivile Luftfahrzeuge eingesetzt;IRRELEVANT
. Dies ist künftig zumindest noch einmal sachlich und kritisch zu überprüfen. Wie bei Sea Guardian ist die Lagebilderstellung eine weitere wesentliche Funktion von Irini. Im Vergleich zum erstgenannten Mandat werden bei Irini Luftfahrzeuge eingesetzt. Nachdem die P-3C Orion hierfür nicht mehr zur Verfügung steht, werden zivile Luftfahrzeuge eingesetzt. Dies zeigt einmal mehr die Begrenztheit der Ressourcen für diese wichtige Fähigkeit der Seefernaufklärung. Auch in diesem Mandat bleibt die Personalobergrenze von 300 unverändert. Festzuhalten gilt: Beide Mandate sind im Kern nicht auf Seenotrettung ausgelegt, wenngleich völkerrechtliche Verpflichtungen zur Hilfeleistung davon unberührt bleiben. Die gemäß dem Mandatstext immer noch ausstehende Vereinbarung zwischen Sea Guardian, NATO und Irini ist auch noch einmal ein kritisch anzumerkender Punkt, der beide Mandate betrifft. Es ist zum Schluss meiner Ausführungen zu begrüßen, dass in diesem Jahr endlich eine Evaluation der bisherigen Einsätze vorliegt das hatte meine Fraktion das gilt für alle mandatierten Auslandseinsätze jahrelang gefordert. Wir erwarten auch von einer künftigen Bundesregierung, dass eine fortlaufende Evaluierung aller Einsätze stattfindet. In der Bewertung sind für uns sicherheitspolitische Verantwortung und Kontinuität die Prämissen für die zukünftige Mandatierung beider Einsätze, und wir werden zustimmen. Zum Schluss gilt unser Dank allen Soldaten, besonders denen, die über Weihnachten ihren hervorragenden Dienst in den Einsätzen leisten. Viel Soldatenglück, und kommen Sie gesund nach Hause! Vielen Dank. Joachim Wundrak hat für die AfD das Wort.;IRRELEVANT
Sehr geehrter Herr Minister Pistorius, ich würde gerne zur Situation der Reserve in Deutschland fragen. Das BMVg erklärt ja zu Recht immer wieder, dass die Reserve gestärkt werden muss. Deswegen würde ich gerne wissen, ob die Berichte zutreffen, dass die Kapazitäten für die Ausbildung Ungedienter in der Reserve wirklich gekürzt werden, und, wenn ja, wie das mit dem vom BMVg ausgegebenen Ziel vereinbar ist.;IRRELEVANT
. Es kann nicht sein, dass Erdoğan über einen versteckten Stellvertreterkrieg schrittweise, Stück um Stück die kurdische Bevölkerung in Syrien entweder zerstören oder aus Syrien herausdrängen will. Dauerhaften Frieden kann es in Syrien nur mit Beteiligung der Kurden geben. Auch da sollten wir ganz deutlich sein. Wie gesagt, mit der Vertreibung Assads sind große Chancen da. Ich glaube aber, dass wir deshalb genau jetzt auch den Druck auf das iranische Regime erhöhen müssen. Es ist intern nicht mehr legitimiert. Es ist nach außen aggressiv. Jetzt sollten wir gemeinsam mit den Partnern und mit Israel alles tun, um den Druck auf Iran weiter zu erhöhen. Gleiches gilt für Putin. Wir sollten den Druck auf Putin erhöhen und verhindern, dass er, wie gesagt, wieder Fuß fasst. Deshalb lassen Sie mich noch mal sehr deutlich zu den Kollegen der SPD sagen: Sie sprechen immer davon, Eskalationen im Verhältnis zu Putin zu verhindern. Dabei unterschlagen Sie, dass es Putin ist, der ob in Syrien oder in der Ukraine, ob in Zentralafrika oder an anderen Orten in seinem bis zur Obsession gesteigerten Feldzug gegen alles Westliche ständig weiter eskaliert. Er eskaliert, nicht wir. Der Weg zum Frieden, Kolleginnen und Kollegen und den wollen wir vor allem , ob in der Ukraine oder in Syrien, führt nicht über Nachgiebigkeit gegenüber Putin, sondern nur darüber, dass wir ihm diplomatische und militärische Stoppsignale setzen. Darauf aber warten wir seitens der Bundesregierung vergeblich hier würden wir ein deutlich entschlosseneres Handeln der Bundesregierung erwarten. Ein friedliches Syrien nach Assad ist möglich, aber nur ohne Einmischung Russlands und des Iran und nur, wenn die Türkei Syriens Integrität respektiert. Dafür erwarten wir entschlossenes Handeln Vielen Dank. der Bundesregierung.;FAVOR
Vielen Dank. Frau Präsidentin! Verehrte Kolleginnen und Kollegen! Ich möchte mit einem Zitat beginnen: ZPutins Krieg bedeutet eine Zäsur, auch für unsere Außenpolitik. So viel Diplomatie wie möglich, ohne naiv zu sein, dieser Anspruch bleibt. Nicht naiv zu sein, das bedeutet aber auch, kein Reden um des Redens willen. Das waren die Worte des Bundeskanzlers am 27. Februar 2022 von genau diesem Pult aus. Also das heißt, dann zu reden, wenn es einen wirklichen Anlass gibt, zu reden. Am 15. November dieses Jahres dann das Telefonat mit dem russischen Präsidenten Putin, das der ukrainische Präsident Selenskyj mit den Worten konnotiert hat: Dieses Telefonat hat die Büchse der Pandora geöffnet. Was er damit meinte, konnten wir auf schreckliche Art und Weise einen Tag später sehen. Wenn wir uns anschauen, wie verheerend die Angriffe waren, mit denen Russland auf die sogenannten Friedensbemühungen des Bundeskanzlers geantwortet hat, dann bleibt nur eine Frage: War dieses Telefonat mit Putin noch Naivität, oder war das schon Wahlkampf, Herr Bundeskanzler? Vor einer Woche, auf einer Konferenz der SPD, sagte Olaf Scholz: Mit der Sicherheit Deutschlands spielt man nicht Russisch Roulette. Das war ein Angriff auf die Mehrheit dieses Hauses Grüne, Christdemokraten und Freie Demokraten , nämlich indem er sich zumindest indirekt des russischen Narrativs bedient hatte: Wer weitreichende Waffensysteme liefert, der könnte sogar einen Atomkrieg in Europa provozieren. Das ist das Narrativ von Wladimir Putin. Ich sage in aller Deutlichkeit: Wem es wirklich um Frieden geht, der unterstützt die Ukraine damit, was sie wirklich braucht, und zwar gerade deswegen, weil es auch um den Frieden in Europa geht, liebe Kolleginnen und Kollegen. Stattdessen wird über Geldzahlung gesprochen, auch am Abend des Endes der Ampelkoalition. Es wird davon gesprochen, auf welchem Platz Deutschland, wenn man die relativen Zahlen nimmt, liegt in absoluten Zahlen stellt sich das natürlich anders dar. Da stellt man sich übrigens die Frage, ob ein Bundeskanzler der Sozialdemokraten, die ja sagen, starke Schultern müssten mehr schultern, da seinen Worten Taten folgen lässt. Sie ruhen sich auf den Summen aus, während unsere Freunde in Polen, in Skandinavien und im Baltikum im Verhältnis wesentlich mehr schultern. In den neuen Formaten, beispielsweise dem des polnischen Präsidenten Tusk, ist Deutschland mittlerweile isoliert bzw. ist überhaupt nicht mehr an Bord. Meine Damen und Herren, ich will es in aller Deutlichkeit sagen: Selbstverständlich werden wir die Ukraine auch weiter finanziell unterstützen keine Frage! Am Abend des Endes der Koalition habe ich dem Bundeskanzler und den Partnern ausdrücklich zugesagt, dass diese 3 Milliarden Euro im Haushalt zu stemmen sind und dass wir das hinbekommen. Aber ich glaube, diese Zahlen sollen eines verdecken, nämlich dass man das, was die Menschen in der Ukraine wirklich brauchen, nicht liefern will, und das bedauerlicherweise aus parteitaktischen Gründen. Das ist unredlich, um das in aller Deutlichkeit zu sagen. Ein weiterer Punkt. Der Bundeskanzler selbst hat immer wieder zu Recht gesagt und wir haben uns da bisweilen auch schützend vor ihn gestellt : Wir stimmen uns mit den Partnern ab und gehen im Gleichschritt mit unseren amerikanischen Freunden. Der amerikanische Präsident hat jetzt die Kraft gehabt, den Weg für Waffen mit großer Reichweite freizumachen;FAVOR
. Ein weiterer Punkt. Der Bundeskanzler selbst hat immer wieder zu Recht gesagt und wir haben uns da bisweilen auch schützend vor ihn gestellt : Wir stimmen uns mit den Partnern ab und gehen im Gleichschritt mit unseren amerikanischen Freunden. Der amerikanische Präsident hat jetzt die Kraft gehabt, den Weg für Waffen mit großer Reichweite freizumachen. Ich frage: Wo bleibt jetzt der Gleichschritt? Steht der Bundeskanzler zu seinem Wort und macht jetzt den Weg für die Lieferung von Taurus-Marschflugkörpern frei? Das steht in Rede, meine Damen und Herren. Darum geht es jetzt ganz konkret nach der amerikanischen Entscheidung. Die SPD und der Bundeskanzler haben immer wieder versucht, ihr Zögern und Zaudern als Besonnenheit zu verkaufen. Am Ende hat der Bundeskanzler, beispielsweise bei der Lieferung von Panzern, immer nachgegeben und geliefert aber eigentlich war es immer zu wenig, und es war immer zu spät. Ich fordere den Bundeskanzler auf, seinen eigenen Ankündigungen auch im Verhältnis zum westlichen Bündnis jetzt Taten folgen zu lassen. Das gebietet die Redlichkeit, und das wäre Friedenssicherung in Europa, meine Damen und Herren. Zum Schluss. Ab dem 20. Januar werden wir eine neue Administration im Weißen Haus haben. Ja, das könnte die Lage verändern. Aber anstatt vor Donald Trump zu zittern und in Schockstarre zu verfallen, muss Europa doch jetzt erst recht sicherheitspolitisch erwachsen werden, jetzt erst recht Verantwortung für die eigene Sicherheit übernehmen, jetzt erst recht die Möglichkeiten schaffen. Die Zwischenrufe finde ich jetzt spannend. Ja, wo ist denn das Jetzt erst recht!, meine Damen und Herren? Jetzt geht es doch darum, die Ukraine zu unterstützen. Wenn nicht jetzt, wann dann? Das wäre redlich, liebe Kolleginnen und Kollegen. Deswegen sage ich eines: In den kommenden Jahren, insbesondere dann, wenn das Sondervermögen für die Bundeswehr verausgabt ist, wird es auch darauf ankommen, wie stark Europa und wie stark Deutschland ist. Unsere geopolitische Stärke ist gerade in diesen herausfordernden Zeiten unmittelbar mit unserer wirtschaftlichen, mit unserer ökonomischen Stärke verbunden. Das heißt, wer jetzt etwas dafür tut, dass Deutschland wieder wirtschaftlich stark wird, der tut auch etwas für Friedenssicherung. Davon war von der SPD bisher faktisch nichts zu hören, genauso wenig wie bei der Unterstützung der Ukraine. Meinen Sie es endlich ernst, meine Damen und Herren! Jetzt ist der Zeitpunkt gekommen. Ich danke Ihnen.;FAVOR
Sehr geehrte Frau Präsidentin! Sehr geehrte Frau Wehrbeauftragte! Liebe Kolleginnen und liebe Kollegen! Vor ein paar Monaten war ich zu Besuch bei der Panzerbrigade 12 in meiner Heimat, der Oberpfalz. Auf viele dieser Soldatinnen und Soldaten kommt nämlich demnächst einiges zu. Denn das Panzergrenadierbataillon 122 in Oberviechtach ist eben Teil dieser Brigade, die im nächsten Jahr in Litauen in Dienst gestellt werden soll. Die Litauen-Brigade ist nicht nur eine Bewährungsprobe für die Bundeswehr. Sie stellt auch die Angehörigen vor große Herausforderungen und Fragen. Ein Soldat der Panzerbrigade 12 hat mir erzählt, dass er sich noch nicht entschieden hat, ob er seine Familie mit ins Baltikum nimmt. Für ihn persönlich bestünden noch immer zu wenig Planungssicherheit und ein zu hohes Risiko. Bei der Umsetzung der Litauen-Brigade müssen wir also noch viele solcher Fragezeichen und Unsicherheiten ausräumen. Das Artikelgesetz ist aber eben nicht nur das Gesetz für die Litauen-Brigade, bei diesem Gesetz geht es um die personelle Einsatzbereitschaft aller Soldatinnen und Soldaten. Die Litauen-Brigade kann und sollte doch nicht der einzige Anlass dafür sein, dass wir uns mal grundlegend Gedanken machen und bessere Rahmenbedingungen für die Truppe schaffen und das Personalsystem der Bundeswehr modernisieren. Reformen nur deshalb anzustoßen, weil die Litauen-Brigade jetzt vor der Tür steht, wäre unangemessen. Wenn wir kriegstüchtig sein wollen, gehört in meinen Augen das ganze Personalsystem der Bundeswehr auf den Prüfstand. Die Bundeswehr braucht Spitzenkräfte und muss auf dem Arbeitsmarkt in der Champions League spielen. Mit dem sogenannten Artikelgesetz Zeitenwende haben wir zwar die Chance, jetzt einen wichtigen Schritt zu gehen, das kann aber nur der Anfang sein. Es müssen noch viele Verbesserungen her. Wir wollen, dass die Bundeswehr die stärkste konventionelle Streitkraft in Europa wird. Ja, lachen Sie nur. Ihnen wird das Lachen noch ganz schön vergehen denn unsere Soldatinnen und Soldaten haben einiges drauf. Für das, was sie trotz mangelnder Ausrüstung seit Monaten im Dienst leisten, sollten Sie Respekt zeigen, Herr Brandner. Auf dem Weg dahin müssen wir vor allem die Attraktivität des Dienstes weiter stärken, damit die Bundeswehr auf dem Arbeitsmarkt attraktiv und konkurrenzfähig ist. Deshalb werden wir uns auch im weiteren Verfahren für einige Flexibilisierungen starkmachen. Wir brauchen die Streichung aller Hinzuverdienstgrenzen. Zeitenwende bedeutet eben auch, denjenigen keine Steine in den Weg zu legen, die die Extrameile für unsere Verteidigung gehen wollen. Weiterhin gilt: Leistung muss sich lohnen. Das Beste an diesem Vorschlag: Es kostet rein gar nichts, aber es schafft einen echten Anreiz, dass sich mehr Leistung auch nach dem aktiven Dienst bei der Truppe lohnen kann, und zwar für jeden Standort, egal ob Litauen, Oberviechtach oder Zweibrücken. Vielen Dank.;IRRELEVANT
Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Deutschland wird eine komplette Brigade, also insgesamt 5 000 Frauen und Männer, in Litauen dauerhaft stationieren. Dies ist keiner der bisher von Deutschland durchgeführten Auslandseinsätze mit wechselnden Kontingenten, sondern wir stationieren in einem befreundeten Land eine dauerhafte Einheit. Wir Freien Demokraten haben dieses so wichtige Vorhaben von Anfang an unterstützt und gefördert. Es ist für uns klar, dass wir diese Brigade bestmöglich ausstatten müssen. Wir wissen, dass dies auch eine Herausforderung für die Bundeswehr ist. Es ist ein herausragendes Bekenntnis zu der Verteidigungsfähigkeit der NATO. Es ist ein beeindruckendes Signal der Abschreckungsfähigkeit gegenüber Russland. Russland unter seinem Herrscher Putin hat sämtliche Brücken zu den westlichen Nachbarn, zur NATO und zur Europäischen Union gekappt. Er wollte das so. Er will nämlich wieder ein Großrussland erschaffen, und dies unter allen Umständen, mit allen Mitteln. Wenn Sie in Litauen mit Menschen reden, dann erzählen diese Menschen von der Bedrohung Russlands. Wenn Sie in Estland mit Menschen reden, dann erzählen diese Menschen von der Bedrohung Russlands. Und wenn Sie in Lettland mit den Menschen reden, erzählen diese Menschen von der Bedrohung Russlands. Das ist übrigens überall in Osteuropa so. Diese Menschen erzählen dann auch sehr schnell von den Verwandten, die von den Russen unter fadenscheinigen Gründen verhaftet, in Gefängnisse gesteckt, gefoltert und teilweise auch nach Sibirien gebracht worden sind und nicht zurückgekehrt sind. Osteuropa kennt eine russische Besetzung. All diese Länder haben nämlich erst in den 90er-Jahren des letzten Jahrhunderts ihre Freiheit und Unabhängigkeit erlangt. Sie wollen nicht wieder von Russland unterdrückt werden, sie wollen ihre Freiheit behalten, und sie haben uns schon lange vor dem 24. Februar vor den Absichten Russlands gewarnt. Mit der Stationierung der deutschen Brigade in Litauen zeigt Deutschland, dass wir in der Lage und willens sind, das NATO-Gebiet und unsere Partnerländer zu verteidigen. Putin versteht Stärke, und dies ist ein Zeichen der Stärke. Und es ist ein Zeichen der Menschen in Litauen, in ganz Osteuropa: Deutschland steht an eurer Seite, Deutschland verteidigt zusammen mit euch unsere gemeinsame Freiheit. Wenn Sie mit Menschen in Litauen und aus Osteuropa reden, dann stellen Sie fest: Sie sind begeistert und auch sehr dankbar, dass Deutschland diesen Schritt tut. Und Polen? Polen hat zwei Wünsche an uns: eine deutsche Brigade und deutsche Führung. Kollege Hahn, Sie hatten heute die Chance für die Union, ein positives Zeichen an unsere Partner zu senden und an die Bundeswehr. Sie haben stattdessen kleinkariert Wahlkampf gemacht. Das ist sehr schade und ein Verlust. So wie wir hat auch Litauen eine gesetzliche Grundlage für die Stationierung der deutschen Brigade in seinem Land geschaffen. Ganz bewusst fand diese Abstimmung im Seimas, im litauischen Parlament, am 3. Oktober statt, an unserem Nationalfeiertag. Auch das ist ein Zeichen der Verbundenheit und der Geschlossenheit. Liebe Kolleginnen und Kollegen, ich bin im Übrigen der Auffassung, dass wir unverzüglich Taurus-Marschflugkörper an die Ukraine liefern sollten. Vielen Dank.;FAVOR
